time/fps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,train/n_updates,train/disc_loss,train/learning_rate,train/surrogate_reward_std,train/surrogate_reward_mean,train/critic_loss
66,6739.091740740001,5462,362,1000.0,362000,-41.27657369995117,351000,0.7471112191677094,0.001,0.03521846753552596,0.4139623882472515,2.3743684109449386
66,6743.9440571800005,5483,363,1000.0,363000,-41.2210814666748,352000,0.7531897962093353,0.001,0.035881213023839474,0.4320475363731384,2.412206406712532
66,6758.82448768,5506,364,1000.0,364000,-41.286875923156735,353000,0.7586289823055268,0.001,0.03557138736518872,0.41038087669014933,2.4269102280139925
65,6771.183622940001,5531,365,1000.0,365000,-41.31102751922607,354000,0.7378052353858948,0.001,0.03561415476964667,0.4073761071264744,2.4266617872714997
65,6787.719285790002,5555,366,1000.0,366000,-41.39135984802246,355000,0.777970826625824,0.001,0.03620116010137166,0.4191022352576256,2.4397700424194335
65,6797.30608278,5575,367,1000.0,367000,-41.367632919311525,356000,0.7695611119270325,0.001,0.03297993808405562,0.38690713691711426,2.3321248942613604
65,6817.10333075,5599,368,1000.0,368000,-41.440615310668946,357000,0.7442459464073181,0.001,0.03875553335473797,0.44723796531558035,2.39511534178257
65,6830.455008560001,5622,369,1000.0,369000,-41.39011022949219,358000,0.768489009141922,0.001,0.03368370615430378,0.37062691727280617,2.3640751413106917
65,6837.774248429999,5645,370,1000.0,370000,-41.55692378997803,359000,0.7705447614192963,0.001,0.03540709607136992,0.42007942232489587,2.378118556857109
65,6846.686196730001,5667,371,1000.0,371000,-41.525038162231446,360000,0.7713017940521241,0.001,0.0321813120812223,0.38902945187687876,2.3692719802856446
65,6857.78334015,5686,372,1000.0,372000,-41.58840613555908,361000,0.7847399592399598,0.001,0.03817376777138087,0.45266943007707594,2.385655219912529
65,6857.83886184,5710,373,1000.0,373000,-41.56009621429443,362000,0.7859474420547485,0.001,0.03322297166002063,0.4078338199555874,2.3318316330909727
